127.0.0.1 - - [15/Mar/2023:14:54:00 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Mar/2023:14:54:42 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [15/Mar/2023:14:54:44 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [15/Mar/2023:14:54:47 -0300] "GET /gerenciador/entrada?acao=MostraEmpresa&id=1 HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [15/Mar/2023:14:54:50 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:14:54:50 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [15/Mar/2023:14:54:53 -0300] "GET /gerenciador/entrada?acao=RemoveEmpresa&id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:14:54:53 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [15/Mar/2023:14:55:03 -0300] "GET /gerenciador/entrada?acao=NovaEmpresaForm HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [15/Mar/2023:14:55:09 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:14:55:09 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 611
